Saint_ID,Name,Country,Born,Born2,Born Location,Died,Died2,Died Location,Age,Feast,Beatified,Beatified Location,Canonised,Canonised_Location,Bio,Is_Married,Is_Layperson,Is_Martyr,Latitude,Longitude
72129,Saint Guthlac of Crowland,England,673,673 AD,"Mercia, England",714.04.03 ,714.04.03 ,"Croyland, England ",40,,,,,,Hermit.,FALSE,FALSE,FALSE,52.85649854795402,-1.559018947
72130,Saint Alkmund of Derby,England,770?,770? AD,,800,800 AD,England ,30,,,,,,Layperson. Son of King Alhred of Northumbria. Martyr.,FALSE,TRUE,TRUE,51.5072,-0.1276
72132,Blessed Giovanni Fornasini,Italy,1915.02.23 ,1915.02.23 ,"Pianaccio, Italy",1944.10.13,1944.10.13,"San Martino di Caprara, Italy ",29,,2021.09.26 ,"Bologna, Bologna, Italy",,,Priest of Bologna (Italy) (1942.06.28 – 1944.10.13),FALSE,FALSE,FALSE,42.89897862393951,13.368753059736369
72133,Saint Florinus von Remüs,Italy, ,,,856,856 AD,Switzerland,,11.17,,,,,Priest.,FALSE,FALSE,FALSE,31.7768831,35.2224346
72170,Saint Felice di Salerno,Italy,,,,303,303 AD,"Salerno, Italy",,,,,,,Priest. Martyr.,FALSE,FALSE,TRUE,40.6813313,14.7743583
72171,Saint Fortunato di Salerno,Italy,,,,303,303 AD,"Salerno, Italy",,,,,,,Layperson. Companion of Saint Gaio di Salerno and Saint Ante di Salerno. Martyr.,FALSE,TRUE,TRUE,40.6813313,14.7743583
72172,Saint Gaio di Salerno,Italy,,,,303,303 AD,"Salerno, Italy",,,,,,,Layperson. Companion of Saint Fortunato di Salerno and Saint Ante di Salerno. Martyr.,FALSE,TRUE,TRUE,40.6813313,14.7743583
72173,Saint Ante di Salerno,Italy,,,,303,303 AD,"Salerno, Italy",,,,,,,Layperson. Companion of Saint Fortunato di Salerno and Saint Gaio di Salerno. Martyr.,FALSE,TRUE,TRUE,40.6813313,14.7743583
72176,Saint Joseph of Tiberias,Palestine,285?,285? AD,Palestine,356,356 AD,Palestine ,71,,,,,,Layperson. Count.,FALSE,TRUE,FALSE,31.9037641,35.2034184
72181,Saint Mary,Italy,,,Italy,I century ,I century ,Israel,,,,,,,Layperson. Mother of Saint John Mark (Acts 12:12).,FALSE,TRUE,FALSE,41.8967068,12.4822025
72182,Saint Patrizia di Costantinopoli,Italy,664,664 AD,Italy,685.08.25 ,685.08.25 ,"Napoli, Italy ",20,,,,,,Layperson.,FALSE,TRUE,FALSE,40.8517983,14.26812
72183,Saint Julian of Cappadocia,Turkiye,,,,309,309 AD,"Cilicia, Turkiye",,,,,,,Layperson. Martyr.,FALSE,TRUE,TRUE,38.963745,35.243322
72185,Saint Egbert,Scotland,639,639 AD,Scotland,729,729 AD,"Iona, Scotland ",90,4.24,,,,,Priest.,FALSE,FALSE,FALSE,56.3347303,-6.4041001
72186,Saint Ethbin of Kildare,England, ,,,600?,600? AD,,,10.19,,,,,Abbot.,FALSE,FALSE,FALSE,51.5072,-0.1276
72188,Saint Socrates,England,,,,307,307 AD,England,,,,,,,Layperson. Companion of Saint Stephen. Martyr.,FALSE,TRUE,TRUE,51.5072,-0.1276
72189,Saint Stephen,England,,,,307,307 AD,England,,,,,,,Layperson. Companion of Saint Socrates. Martyr.,FALSE,TRUE,TRUE,51.5072,-0.1276
72229,Saint Sauve d’Angoulême,France,,,,768,768 AD,"Beuvrages, France",,6.26,,,,,Bishop of Angoulême (France) (? – 768?),FALSE,FALSE,FALSE,50.3854479,3.508683
