Saint_ID,Name,Country,Born,Born2,Born Location,Died,Died2,Died Location,Age,Feast,Beatified,Beatified Location,Canonised,Canonised_Location,Bio,Is_Married,Is_Layperson,Is_Martyr,Latitude,Longitude
260,Blessed Eduardo Francisco Pironio,Argentina,1920.12.03 ,1920.12.03 ,"Nueve de Julio, Argentina",1998.02.05 ,1998.02.05 ,Vatican City State ,77,,2023.12.16 ,"Luján, Argentina",,,Priest of Mercedes (Argentina) (1943.12.05 – 1964.03.24),FALSE,FALSE,FALSE,-35.53679925,-60.92494275
325,Blessed John Paul I,Italy,1912.10.17 ,1912.10.17 ,"Canale d’Agordo, Italy",1978.09.28 ,1978.09.28 ,Vatican City State ,65,,2022.09.04,,,,Priest of Belluno (Italy) (1935.07.07 – 1958.12.15),FALSE,FALSE,FALSE,43.33785,12.548758
376,Saint John Paul II,Poland,1920.05.18 ,1920.05.18 ,"Wadowice, Poland",2005.04.02 ,2005.04.02 ,"Roma, Italy ",84,10.22,2011.05.01,,2014.04.27,,Priest of Kraków (Poland) (1946.11.01 – 1958.07.04),FALSE,FALSE,FALSE,41.88809802478372,12.484307932448662
428,Saint Paul VI,Italy,1897.09.26 ,1897.09.26 ,"Concesio, Italy",1978.08.06 ,1978.08.06 ,"Castel Gandolfo, Italy ",80,5.29,2014.10.19,,2018.10.14,,Priest of Brescia (Italy) (1920.05.29 – 1954.11.01),FALSE,FALSE,FALSE,45.605184,10.216967
453,Saint John XXIII,Italy,1881.11.25 ,1881.11.25 ,"Sotto il Monte Giovanni XXIII, Italy",1963.06.03 ,1963.06.03 ,Vatican City State ,81,10.11,2000.09.03,,2014.04.27,,Priest of Bergamo (Italy) (1904.08.10 – 1925.03.03),FALSE,FALSE,FALSE,45.7057753,9.4996718
460,Blessed Alojzije Stepinac,Croatia,1898.05.08 ,1898.05.08 ,"Krašić, Croatia",1960.02.10,1960.02.10,"Krašić, Croatia ",61,2.1,1998.10.03 ,"Zagreb, Croatia",,,Titular Archbishop of Nicopsis (1934.05.28 – 1937.12.07),FALSE,FALSE,FALSE,45.6540864,15.5174579
466,Blessed Stefan Wyszyński,Poland,1901.08.03 ,1901.08.03 ,"Zuzela, Poland",1981.05.28 ,1981.05.28 ,"Warszawa, Poland ",79,,2021.09.12 ,"Warszawa, Poland",,,Bishop of Lublin (Poland) (1946.03.04 – 1948.11.12),FALSE,FALSE,FALSE,52.6959571,22.240244
501,Blessed Clemens August von Galen,Germany,1878.03.16 ,1878.03.16 ,"Dinklage, Germany",1946.03.22 ,1946.03.22 ,"Münster, Germany ",68,,2005.10.09,,,,Bishop of Münster (Germany) (1933.09.05 – 1946.03.22),FALSE,FALSE,FALSE,52.6626633,8.1212801
543,"Blessed Alfredo Ildefonso Schuster, O.S.B. Cas.",Italy,1880.01.18 ,1880.01.18 ,"Roma, Italy",1954.08.30 ,1954.08.30 ,"Venegono Inferiore, Italy ",74,8.3,1996.05.12,,,,Abbot Ordinary of San Paolo fuori le Mura (Italy) (1918.04.06 – 1929.06.26),FALSE,FALSE,FALSE,41.8933203,12.4829321
649,Blessed Marcelo Spínola y Maestre,Spain,1835.01.14 ,1835.01.14 ,"San Fernando, Spain",1906.01.19 ,1906.01.19 ,"Sevilla, Spain ",71,1.19,1987.03.29,,,,Titular Bishop of Milos (1880.12.16 – 1884.11.10),FALSE,FALSE,FALSE,36.4646672,-6.1983492
821,Blessed Ciriaco María Sancha y Hervás,Spain,1833.06.17 ,1833.06.17 ,"Quintana del Pidio, Spain",1909.02.25 ,1909.02.25 ,"Toledo, Spain ",75,,2009.10.18 ,"Toledo, Toledo, Spain",,,Titular Bishop of Areopolis (1876.01.28 – 1882.03.27),FALSE,FALSE,FALSE,41.7595385,-3.7509232
823,Blessed Andrea Carlo Ferrari,Italy,1850.08.13 ,1850.08.13 ,"Palanzano, Italy",1921.02.02 ,1921.02.02 ,"Milano, Italy ",70,2.02,1987.05.10,,,,Bishop of Guastalla (Italy) (1890.05.29 – 1891.05.29),FALSE,FALSE,FALSE,44.4374371,10.1944619
829,Saint Pius X,Italy,1835.06.02 ,1835.06.02 ,"Riese Pio X, Italy",1914.08.20 ,1914.08.20 ,"Roma, Italy ",79,8.21,1951.06.03,,1954.05.29,,Priest of Treviso (Italy) (1858.09.18 – 1884.11.10),FALSE,FALSE,FALSE,45.7292223,11.917005
863,"Blessed Giuseppe Benedetto Dusmet, O.S.B. Cas.",Italy,1818.08.15 ,1818.08.15 ,"Palermo, Italy",1894.04.04 ,1894.04.04 ,"Catania, Italy ",75,4.04,1988.09.25,,,,Archbishop of Catania (Italy) (1867.02.22 – 1894.04.04),FALSE,FALSE,FALSE,38.1112268,13.3524434
908,"Saint John Henry Newman, C.O.",England,1801.02.21 ,1801.02.21 ,"London, England",1890.08.11 ,1890.08.11 ,"London, England ",89,,2010.09.19 ,"Birmingham, England",2019.10.13,,Cardinal-Deacon of S. Giorgio in Velabro (1879.05.15 – 1890.08.11),FALSE,FALSE,FALSE,51.50663405,-0.128150573
1078,Blessed Pius IX,Italy,1792.05.13 ,1792.05.13 ,"Senigallia, Italy",1878.02.07 ,1878.02.07 ,Vatican City State ,85,2.07,2000.09.03,,,,Priest of Roma (Italy) (1819.04.10 – 1827.05.21),FALSE,FALSE,FALSE,43.7149517,13.2179488
1407,Blessed Iuliu Hossu,Romania,1885.01.30 ,1885.01.30 ,"Milas, Romania",1970.05.28,1970.05.28,"Bucharest, Romania ",85,,2019.06.02 ,"Blaj, Romania",,,"Bishop of Gherla, Armenopoli, Szamos-Ujvár of the Romanians (Romania) (1917.04.03 – 1930.06.05)",FALSE,FALSE,FALSE,46.8202442,24.4332763
1676,Blessed Tommaso Reggio,Italy,1818.01.09 ,1818.01.09 ,"Genova, Italy",1901.11.22 ,1901.11.22 ,"Triora, Italy ",83,11.22,2000.09.03,,,,Titular Bishop of Tanis (1877.03.20 – 1877.06.26),FALSE,FALSE,FALSE,44.40726,8.9338624
1918,Blessed Mykyta Budka,Ukraine,1877.06.07 ,1877.06.07 ,"Zbaraz’kyi district, Ukraine",1949.10.01,1949.10.01,"Karagandy, Kazakhstan ",72,9.28,2001.06.27 ,"Lviv, Ukraine",,,Apostolic Exarch of Canada of the Ukrainians (Canada) (1912.07.15 – 1927),FALSE,FALSE,FALSE,48.5377044,39.2789906
1934,"Saint François de Laval de Montmorency, M.E.P.",Canada,1623.04.30 ,1623.04.30 ,Canada,1708.05.06 ,1708.05.06 ,"Québec, QC, Canada ",85,5.06,1980.06.22,,2014.04.03 ,equipollently,Titular Bishop of Petra (1658.04.11 – 1674.10.01),FALSE,FALSE,FALSE,46.8130816,-71.2074596
2716,Fulton John Sheen,USA,1895.05.08 ,1895.05.08 ,"El Paso, IL, USA",1979.12.09 ,1979.12.09 ,"New York City, NY, USA ",84,,pending,,,,Titular Bishop of Cæsariana (1951.05.28 – 1966.10.21),FALSE,FALSE,FALSE,40.7392018,-89.0164626
2726,"Blessed Álvaro del Portillo y Álvaro, Opus Dei",Italy,1914.03.11 ,1914.03.11 ,Italy,1994.03.23 ,1994.03.23 ,"Roma, Italy ",80,,2014.09.27 ,"Madrid, Spain",,,Prelate of Opus Dei (Italy) (1982.11.28 – 1994.03.23),FALSE,FALSE,FALSE,41.8967068,12.4822025
3632,Blessed Ioan Suciu,Romania,1907.12.04 ,1907.12.04 ,"Blaj, Romania",1953.06.27,1953.06.27,"Sighetu Marmației, Romania ",45,,2019.06.02 ,"Blaj, Romania",,,Auxiliary Bishop of Oradea Mare of the Romanians (Romania) (1940.05.25 – 1947),FALSE,FALSE,FALSE,46.1741571,23.9224826
3635,Blessed Vasile Aftenie,Romania,1899.07.14 ,1899.07.14 ,"Lodroman, Romania",1950.05.10,1950.05.10,"Bucharest, Romania ",50,,2019.06.02 ,"Blaj, Romania",,,Titular Bishop of Ulpiana (1940.04.12 – 1950.05.10),FALSE,FALSE,FALSE,46.1179168,24.0741036
3642,Blessed Valeriu Traian Frenţiu,Romania,1875.04.25 ,1875.04.25 ,"Resita, Romania",1952.07.11,1952.07.11,"Sighetu Marmației, Romania ",77,,2019.06.02 ,"Blaj, Romania",,,Bishop of Lugoj of the Romanians (Romania) (1912.12.14 – 1922.02.25),FALSE,FALSE,FALSE,45.2890106,21.8877676
3644,Blessed Alexandru Rusu,Romania,1884.11.22 ,1884.11.22 ,"Șăulia, Romania",1963.05.09,1963.05.09,"Gherla, Romania ",78,,2019.06.02 ,"Blaj, Romania",,,Bishop of Maramureş of the Romanians (Romania) (1930.10.17 – 1963.05.09),FALSE,FALSE,FALSE,46.6438664,24.2136459
3646,Blessed Ioan Bălan,Romania,1880.02.11 ,1880.02.11 ,"Teius, Romania",1959.08.04,1959.08.04,"Bucharest, Romania ",79,,2019.06.02 ,"Blaj, Romania",,,Bishop of Lugoj of the Romanians (Romania) (1936.08.29 – 1959.08.04),FALSE,FALSE,FALSE,46.2060158,23.6754148
5312,Blessed Jacinto Vera y Durán,Uruguay,1813.06.03 ,1813.06.03 ,Uruguay,1881.05.06 ,1881.05.06 ,"Pan de Azúcar, Uruguay ",67,,2023.05.06 ,"Pan de Azúcar, Uruguay",,,Titular Bishop of Megara (1859.05.26 – 1878.07.13),FALSE,FALSE,FALSE,-32.522779,-55.765835
7378,Blessed Louis-Zéphirin Moreau,Canada,1824.04.01 ,1824.04.01 ,"Bécancour, QC, Canada",1901.05.24 ,1901.05.24 ,"Saint-Hyacinthe, QC, Canada ",77,5.24,1987.05.10,,,,Bishop of Saint-Hyacinthe (Canada) (1875.11.19 – 1901.05.24),FALSE,FALSE,FALSE,46.3415746,-72.4335088
7443,"Saint John Nepomucene Neumann, C.SS.R.",USA,1811.03.28 ,1811.03.28 ,USA,1860.01.05 ,1860.01.05 ,"Philadelphia, PA, USA ",48,1.05,1963.10.13,,1977.06.19,,Priest of New York (USA) (1836.06.25 – 1842.01.16),FALSE,FALSE,FALSE,39.9525839,-75.1652215
7853,"Saint Luigi Versiglia, S.D.B.",Italy,1873.06.05 ,1873.06.05 ,"Oliva Gessi, Pavia, Italy",1930.02.25,1930.02.25,"Litouzui, 廣東, China ",56,2.25,1983.05.15,,2000.10.01,,Coadjutor Bishop of Carystus (Greece) (1920.04.22 – 1930.02.25),FALSE,FALSE,FALSE,41.88809802478372,12.484307932448662
7880,"Saint Jean-Gabriel-Taurin Dufresse, M.E.P.",China,1750.12.08 ,1750.12.08 ,China,1815.09.14,1815.09.14,"Chengdu, 四川, China ",64,9.14,1900.05.27,,2000.10.01,,Coadjutor Vicar Apostolic of Szechwan 四川 (China) (1798.07.24 – 1801.11.15),FALSE,FALSE,FALSE,30.5722599,104.0665099
7908,"Saint Pedro Sans i Jordà, O.P.",China,1680.09.03 ,1680.09.03 ,China,1747.05.26,1747.05.26,"Fuzhou, 福建, China ",66,5.26,1893.05.14,,2000.10.01,,Coadjutor Vicar Apostolic of Fujian 福建 (China) (1728.01.29 – 1732.01.03),FALSE,FALSE,FALSE,26.0742099,119.29647
8117,"Saint Francesco Antonio Domenico Fogolla, O.F.M. Obs.",Italy,1839.10.04 ,1839.10.04 ,"Montereggio di Mulazzo, Massa, Italy",1900.07.09,1900.07.09,"Taiyuan, 山西, China ",60,7.09,1946.11.24,,2000.10.01,,Titular Bishop of Bagis (1898.07.18 – 1900.07.09),FALSE,FALSE,FALSE,41.88809802478372,12.484307932448662
8782,Saint Zygmunt Szczęsny Feliński,Poland,1822.11.01 ,1822.11.01 ,Poland,1895.09.17 ,1895.09.17 ,"Kraków, Poland ",72,9.17,2002.08.18 ,"Kraków, Poland",2009.10.11,,Metropolitan Archbishop of Warszawa (Poland) (1862.01.06 – 1883.03.15),FALSE,FALSE,FALSE,50.0646501,19.9449799
8973,Blessed Vilmos Apor,Hungary,1892.02.29 ,1892.02.29 ,Hungary,1945.04.02,1945.04.02,"Győr, Hungary ",53,4.02,1997.11.09,,,,Bishop of Győr (Hungary) (1941.01.21 – 1945.04.02),FALSE,FALSE,FALSE,47.162494,19.503304
9032,"Blessed Vincentius Eugenio Bossilkoff, C.P.",Bulgaria,1900.11.20 ,1900.11.20 ,"Belene, Bulgaria",1952.11.11,1952.11.11,"Sofia, Bulgaria ",51,11.11,1998.03.15,,,,Bishop of Nikopol (Bulgaria) (1947.07.26 – 1952.11.11),FALSE,FALSE,FALSE,43.6477654,25.1258325
9043,"Blessed Nikollë Vinçens Prenushi, O.F.M.",Albania,1885.09.04 ,1885.09.04 ,"Shkodër, Albania",1949.03.19,1949.03.19,"Durrës, Albania ",63,,2016.11.05 ,"Shkodër, Shkodër, Albania",,,Bishop of Sapë (Albania) (1936.01.27 – 1940.06.26),FALSE,FALSE,FALSE,42.07008401727095,19.51077071043912
9048,Blessed Frano Gjini,Albania,1886.02.20 ,1886.02.20 ,"Shkodra, Albania",1948.03.11,1948.03.11,"Lezhe, Albania ",62,,2016.11.05 ,"Shkodër, Shkodër, Albania",,,Abbot Ordinary of Shën Llezhri i Oroshit (Albania) (1930.06.29 – 1946.01.04),FALSE,FALSE,FALSE,42.07008401727095,19.51077071043912
9464,"Blessed Jurgis Matulaitis-Matulevicius, M.I.C.",Lithuania,1871.04.13 ,1871.04.13 ,"Marijampolė, Lithuania",1927.01.27 ,1927.01.27 ,"Kaunas, Lithuania ",55,1.27,1987.06.28,,,,Superior General of Congregation of Marian Fathers of the Immaculate Conception of the Blessed Virgin Mary (Marian Fathers) (1911.07.14 – 1927.01.27),FALSE,FALSE,FALSE,54.5562536,23.3503665
9472,Blessed Teofilo Matulionis,Lithuania,1873.07.04 ,1873.07.04 ,"Alantos, Molėtai, Lithuania",1962.08.20,1962.08.20,"Seduva, Lithuania ",89,,2017.06.25 ,"Vilnius, Lithuania",,,Titular Bishop of Matrega (1928.12.08 – 1943.01.09),FALSE,FALSE,FALSE,55.2301673,25.4133547
9518,"Saint Antoine-Marie-Nicolas Daveluy, M.E.P.",South Korea,1818.03.16 ,1818.03.16 ,South Korea,1866.03.30,1866.03.30,"Galmaemot, Boryeong, Chungcheong-do, South Korea ",48,3.3,1968.10.06,,1984.05.06 ,"Seoul, South Korea",Coadjutor Vicar Apostolic of Korea 조선 (South Korea) (1855.11.13 – 1866.03.08),FALSE,FALSE,FALSE,37.5503,126.9971
9519,"Saint Siméon-François Berneux, M.E.P.",South Korea,1814.05.14 ,1814.05.14 ,South Korea,1866.03.07,1866.03.07,"Saenamteo, Seoul, South Korea ",51,3.07,1968.10.06,,1984.05.06 ,"Seoul, South Korea",Coadjutor Vicar Apostolic of Korea 조선 (South Korea) (1844.03.28 – 1854.08.05),FALSE,FALSE,FALSE,37.5503,126.9971
9521,"Saint Laurent-Marie-Joseph Imbert, M.E.P.",South Korea,1797.04.15 ,1797.04.15 ,South Korea,1839.09.21,1839.09.21,"Saenamteo, Seoul, South Korea ",42,9.21,1925.07.05,,1984.05.06 ,"Seoul, South Korea",Titular Bishop of Capsa (1836.04.26 – 1839.09.21),FALSE,FALSE,FALSE,37.5503,126.9971
9901,"Blessed Mamerto Esquiú Medina, O.F.M.",Argentina,1826.05.10 ,1826.05.10 ,"San Josè de Piedra Blanca, Argentina",1883.01.10 ,1883.01.10 ,"La Posta de El Suncho, Argentina ",56,,2021.09.04 ,"San José de Fray Mamerto Esquiú, Argentina",,,Bishop of Córdoba (Argentina) (1880.02.27 – 1883.01.10),FALSE,FALSE,FALSE,-28.3947636,-65.7031314
10129,"Saint Gregorio Maria Grassi, O.F.M. Obs.",Italy,1833.12.13 ,1833.12.13 ,"Castellazzo Bormida, Alessandria, Italy",1900.07.09,1900.07.09,"Taiyuan, 山西, China ",66,7.09,1946.11.24,,2000.10.01,,Titular Bishop of Orthosia (1876.01.28 – 1890.06.17),FALSE,FALSE,FALSE,41.88809802478372,12.484307932448662
10526,"Blessed Pierre Lucien Claverie, O.P.",Algeria,1938.05.08 ,1938.05.08 ,"Bab El Oued, Algeria",1996.08.01,1996.08.01,"Oran, Algeria ",58,,2018.12.08 ,"Oran, Algeria",,,Bishop of Oran (Algeria) (1981.05.25 – 1996.08.01),FALSE,FALSE,FALSE,36.7907677,3.0530812
11024,"Blessed Jesús Emilio Jaramillo Monsalve, M.X.Y.",Colombia,1916.02.14 ,1916.02.14 ,"Santo Domingo, Colombia",1989.10.01,1989.10.01,"Arauquita, Colombia ",73,,2017.09.08 ,"Villavicencio, Colombia",,,Titular Bishop of Strumnitza (1970.11.11 – 1984.07.19),FALSE,FALSE,FALSE,6.471221,-75.1643724
11631,Saint Óscar Arnulfo Romero y Galdámez,El Salvador,1917.08.15 ,1917.08.15 ,"Ciudad Barrios, El Salvador",1980.03.24,1980.03.24,"San Salvador, El Salvador ",62,,2015.05.23 ,"San Salvador, El Salvador",2018.10.14,,Titular Bishop of Tambeæ (1970.04.25 – 1974.10.15),FALSE,FALSE,FALSE,13.7651939,-88.2691179
11852,Blessed Enrique Ángel Angelelli Carletti,Argentina,1923.07.17 ,1923.07.17 ,"Alta Córdoba, Córdoba, Argentina",1976.08.04,1976.08.04,"Punta de los Llanos, la Rioja, Argentina ",53,,2019.04.27 ,"La Rioja, Argentina",,,Titular Bishop of Lystra (1960.12.12 – 1968.07.03),FALSE,FALSE,FALSE,-31.3982093,-64.18025
11885,Blessed Vasil Hopko,Slovakia,1904.04.21 ,1904.04.21 ,"Hrabské, Slovakia",1976.07.23,1976.07.23,"Prešov, Slovakia ",72,7.23,2003.09.14 ,"Bratislava, Slovakia",,,Titular Bishop of Midila (1946.11.09 – 1976.07.23),FALSE,FALSE,FALSE,49.3390799,21.0735979
12067,"Blessed Vasyl’ Vsevolod Velychkovs’kyi, C.SS.R.",Ukraine,1903.06.01 ,1903.06.01 ,"Ivano-Frankivsk, Ukraine",1973.06.30,1973.06.30,"Winnipeg, MB, Canada ",70,6.3,2001.06.27 ,"Lviv, Ukraine",,,Titular Bishop of Lutsk–Ostroh of the Ukrainians (1959 – 1973.06.30),FALSE,FALSE,FALSE,48.9224763,24.710334
12391,"Blessed Leonid F’odorov, M.S.U.",Russia,1879.11.04 ,1879.11.04 ,"St Peterburg, Russia",1935.03.07,1935.03.07,"Kirov, Russia ",55,3.07,2001.06.27 ,"Lviv, Ukraine",,,Apostolic Exarch of Russia of the Russians (Russia) (1917.05.28 – 1935.03.07),FALSE,FALSE,FALSE,59.9346851,30.3409909
12580,"Saint Antonio María Claret y Clará, C.M.F.",Cuba,1807.12.23 ,1807.12.23 ,Cuba,1870.10.24 ,1870.10.24 ,"Fontfroide, Narbonne, France ",62,10.24,1934.02.25,,1950.05.07,,Superior General of Missionary Sons of the Immaculate Heart of Mary (Claretians) (1849 – 1850.05.20),FALSE,FALSE,FALSE,43.126599,2.89745
12921,"Saint Eugène, O.M.I.",France,1782.08.01 ,1782.08.01 ,"Aix-en-Provence, France",1861.05.21 ,1861.05.21 ,"Marseille, France ",78,5.21,1975.10.19,,1995.12.03,,Founder of Missionary Oblates of Mary Immaculate (Oblates) (1816.01.25),FALSE,FALSE,FALSE,46.5309256,5.446054408720051
13106,Blessed Florentino Asensio Barroso,Spain,1877.10.16 ,1877.10.16 ,"Villasexmir, Valladolid, Spain",1936.08.09,1936.08.09,"Barbastro, Huesca, Spain ",58,8.09,1997.05.04,,,,Titular Bishop of Eurœa in Epiro (1935.11.11 – 1936.08.09),FALSE,FALSE,FALSE,41.63969,-5.06452
13127,"Blessed Anselmo Polanco y Fonteche, O.E.S.A.",Spain,1881.04.16 ,1881.04.16 ,"Buenavista de Valdavia, Palencia, Spain",1939.02.07,1939.02.07,"Pont de Molins, Girona, Spain ",57,2.07,1995.10.01,,,,Bishop of Teruel (Spain) (1935.06.21 – 1939.02.07),FALSE,FALSE,FALSE,42.6380596,-4.6145515
13173,"Blessed Salvio Huix Miralpéix, C.O.",Spain,1877.12.22 ,1877.12.22 ,"Santa Margarida de Vallors, Girona, Spain",1936.08.05,1936.08.05,"Lleida, Spain ",58,,2013.10.13 ,"Tarragona, Spain",,,Titular Bishop of Selymbria (1928.02.16 – 1935.01.28),FALSE,FALSE,FALSE,41.883600900000005,2.549741040395638
13216,Blessed Narciso de Esténaga y Echevarría,Spain,1882.10.29 ,1882.10.29 ,"Logroño, La Rioja, Spain",1936.08.19,1936.08.19,"Ciudad Real, Spain ",53,,2007.10.28,,,,Titular Bishop of Dora (1922.12.14 – 1936.08.19),FALSE,FALSE,FALSE,42.3285528,-2.4674917
13218,Blessed Cruz Laplana y Laguna,Spain,1875.05.03 ,1875.05.03 ,"Plan, Huesca, Spain",1936.08.08,1936.08.08,"Cuenca, Spain ",61,,2007.10.28,,,,Bishop of Cuenca (Spain) (1921.11.30 – 1936.08.08),FALSE,FALSE,FALSE,42.1382539,-0.4080901
13320,Blessed Johann Nepomuk von Tschiderer zu Gleitheim,Italy,1777.04.15 ,1777.04.15 ,"Bolzano, Italy",1860.12.03 ,1860.12.03 ,"Trento, Italy ",83,12.03,1995.04.30 ,"Trento, Italy",,,Titular Bishop of Helenopolis (1832.02.24 – 1835.05.03),FALSE,FALSE,FALSE,44.49293127215681,11.341819600608996
13364,Saint Guido Maria Conforti,Italy,1865.05.30 ,1865.05.30 ,"Parma, Italy",1931.11.05 ,1931.11.05 ,"Parma, Italy ",66,11.05,1996.03.17,,2011.10.23,,Founder of Xaverian Missionary Fathers (Xaverians) (1895.12.03),FALSE,FALSE,FALSE,44.8013678,10.3280833
13466,Blessed Manuel Basulto y Jiménez,Spain,1860.05.17 ,1860.05.17 ,"Adanero, Ávila, Spain",1936.08.12,1936.08.12,"Pozo del Tío Raimundo, Vallecas, Madrid, Spain ",76,,2013.10.13 ,"Tarragona, Spain",,,Bishop of Lugo (Spain) (1909.09.03 – 1919.12.18),FALSE,FALSE,FALSE,40.9438737,-4.6038249
13569,Blessed Manuel Medina y Olmos,Spain,1869.08.09 ,1869.08.09 ,"Lanteira, Granada, Spain",1936.08.30,1936.08.30,"Barranco de El Chisme, Almería, Spain ",67,8.3,1993.10.10,,,,Titular Bishop of Amorium (1925.12.14 – 1928.10.02),FALSE,FALSE,FALSE,37.1687458,-3.1382211
13582,Saint Manuel González y García,Spain,1877.02.25 ,1877.02.25 ,"Sevilla, Spain",1940.01.04 ,1940.01.04 ,"Madrid, Spain ",62,1.04,2001.04.29,,2016.10.16,,Titular Bishop of Olimpus (1915.12.06 – 1920.04.22),FALSE,FALSE,FALSE,37.3873223,-5.990985093
14100,"Saint José Melchór García-Sampedro Suárez, O.P.",Spain,1821.04.26 ,1821.04.26 ,"Cortes, Quirós, Asturias, Spain",1858.07.28,1858.07.28,"Nam Định, Vietnam ",37,7.28,1951.04.29,,1988.06.19,,Coadjutor Vicar Apostolic of Central Tonking (Vietnam) (1853.04.15 – 1857.07.20),FALSE,FALSE,FALSE,43.0965592,-5.9108605
14101,"Saint José María Díaz Sanjurjo, O.P.",Spain,1818.10.25 ,1818.10.25 ,"Santa Eulalia de Suegos, Lugo, Spain",1857.07.20,1857.07.20,"Nam Định, Vietnam ",38,7.2,1951.04.29,,1988.06.19,,Coadjutor Vicar Apostolic of Central Tonking (Vietnam) (1848.09.05 – 1852.08.26),FALSE,FALSE,FALSE,43.09319,-7.378929342
14110,"Saint Jerónimo Hermosilla Aransáez, O.P.",Spain,1800.09.30 ,1800.09.30 ,"Santo Domingo de la Calzada, Logroño, Spain",1861.11.01,1861.11.01,"Hải Dương, Vietnam ",61,11.01,1906.05.20,,1988.06.19,,Titular Bishop of Miletopolis (1839.08.02 – 1861.11.01),FALSE,FALSE,FALSE,42.4511039,-2.9789235
14111,"Saint Ignacio Clemente Delgado Cebrián, O.P.",Vietnam,1761.11.23 ,1761.11.23 ,Vietnam,1838.07.12,1838.07.12,"Nam Định, Vietnam ",76,7.12,1900.05.27,,1988.06.19,,Coadjutor Vicar Apostolic of Eastern Tonking (Vietnam) (1794.02.11 – 1799.02.02),FALSE,FALSE,FALSE,14.058324,108.277199
14140,"Saint Étienne-Théodore Cuenot, M.E.P.",Vietnam,1802.02.08 ,1802.02.08 ,Vietnam,1861.11.14,1861.11.14,"Bình Định, Vietnam ",59,11.14,1909.05.02,,1988.06.19,,Coadjutor Vicar Apostolic of Cochin (Vietnam) (1831.09.09 – 1840.07.31),FALSE,FALSE,FALSE,14.058324,108.277199
14171,"Saint Valentín Faustino Berrio-Ochoa de Aristi, O.P.",Spain,1827.02.14 ,1827.02.14 ,"Ellorio, Vitoria, Spain",1861.11.01,1861.11.01,"Hải Dương, Vietnam ",34,11.01,1906.05.20,,1988.06.19,,Coadjutor Vicar Apostolic of Central Tonking (Vietnam) (1857.12.25 – 1858.07.28),FALSE,FALSE,FALSE,42.8465088,-2.6724025
14174,"Saint Domingo Henares de Zafra Cubero, O.P.",Spain,1765.12.19 ,1765.12.19 ,"Baena, Córdoba, Spain",1838.06.25,1838.06.25,"Nam Định, Vietnam ",72,6.25,1900.05.27,,1988.06.19,,Titular Bishop of Phessa (1800.09.09 – 1838.06.25),FALSE,FALSE,FALSE,37.6173035,-4.324371
14308,"Saint Antonio Fantosati, O.F.M.",Italy,1842.10.16 ,1842.10.16 ,"Santa Maria, Valle a Trevi, Perugia, Italy",1900.07.07,1900.07.07,"Hengzhou, 湖南, China ",57,7.07,1946.11.24,,2000.10.01,,Titular Bishop of Adraha (1892.07.11 – 1900.07.07),FALSE,FALSE,FALSE,41.88809802478372,12.484307932448662
14310,Blessed Carlo Liviero,Italy,1866.05.29 ,1866.05.29 ,"Vicenza, Italy",1932.07.07 ,1932.07.07 ,"Fano, Italy ",66,,2007.05.27 ,"Città di Castello, Perugia, Italy",,,Bishop of Città di Castello (Italy) (1910.01.08 – 1932.07.07),FALSE,FALSE,FALSE,45.5488306,11.5478825
14546,Blessed Symeon Lukach,Ukraine,1893.07.07 ,1893.07.07 ,Ukraine,1964.08.22,1964.08.22,"Starunya, Ukraine ",71,8.22,2001.06.27 ,"Lviv, Ukraine",,,Bishop. Eparch of the “clandestine” Ukrainian Greek Catholic Church. Martyr.,FALSE,FALSE,TRUE,48.705559,24.4975624
14710,"Blessed Pavel Peter Gojdic, O.S.B.M.",Slovakia,1888.07.17 ,1888.07.17 ,"Ľubovec, Slovakia",1960.07.17,1960.07.17,"Leopoldov, Slovakia ",72,7.17,2001.11.04,,,,Apostolic Administrator of Prešov of the Slovaks (Slovakia) (1926.09.14 – 1940.04.11),FALSE,FALSE,FALSE,48.9135103,21.1738208
14841,Blessed Anton Martin Slomšek,Austria,1800.11.26 ,1800.11.26 ,Austria,1862.09.24 ,1862.09.24 ,"Maribor, Styria, Slovenia ",61,9.24,1999.09.19 ,"Maribor, Slovenia",,,Bishop of Lavant (Austria) (1846.05.30 – 1862.09.24),FALSE,FALSE,FALSE,46.5546503,15.6458812
14944,Saint Raphael Guízar y Valencia,Mexico,1878.04.26 ,1878.04.26 ,"Michoacán, Mexico",1938.06.06 ,1938.06.06 ,"Ciudad de México, Mexico ",60,6.06,1995.01.29,,2006.10.15,,Bishop of Veracruz–Jalapa (Mexico) (1919.08.01 – 1938.06.06),FALSE,FALSE,FALSE,19.207098,-101.878113
15071,"Saint Daniele Comboni, F.S.C.I.",Italy,1831.03.15 ,1831.03.15 ,"Limone sul Garda, Italy",1881.10.10 ,1881.10.10 ,"Khartoum, Sudan ",50,10.1,1996.03.17,,2003.10.05,,Founder of Sons of the Sacred Heart of Jesus (1867.06.01),FALSE,FALSE,FALSE,41.88809802478372,12.484307932448662
15504,"Blessed Mykolai Charnets’kyi, C.SS.R.",Italy,1884.12.14 ,1884.12.14 ,"Pavia, Italy",1959.04.02,1959.04.02,Ukraine ,74,4.02,2001.06.27 ,"Lviv, Ukraine",,,Titular Bishop of Lebedus (1931.01.16 – 1959.04.02),FALSE,FALSE,FALSE,45.18709812077272,9.148132681123258
